gene	gencodeId	n_transcripts	max_median	second_median	multi_isoform_normal
HNF1B	ENSG00000275410.4	7	2.2100000381469727	0.029999999329447746	False
HNRNPA3	ENSG00000170144.20	5	60.540000915527344	45.93000030517578	True
HNRNPU	ENSG00000153187.18	30	25.639999389648438	25.43000030517578	True
HPS4	ENSG00000100099.20	18	5.690000057220459	4.5	True
HSD17B2	ENSG00000086696.10	6	0.3100000023841858	0.11999999731779099	False
HSD17B3	ENSG00000130948.9	7	2.9600000381469727	0.20000000298023224	False
HSD17B7	ENSG00000132196.13	10	5.269999980926514	3.880000114440918	True
HSH2D	ENSG00000196684.12	8	4.570000171661377	1.440000057220459	True
HSP90AA1	ENSG00000080824.18	10	199.47999572753906	2.559999942779541	True
HYAL1	ENSG00000114378.16	9	2.1600000858306885	1.2899999618530273	True
IGFBP3	ENSG00000146674.14	11	32.16999816894531	28.899999618530273	True
IGFBP7	ENSG00000163453.11	3	460.70001220703125	19.8700008392334	True
IGSF8	ENSG00000162729.13	5	14.140000343322754	10.449999809265137	True
